AGE,GENDER,DEPARTMENT,SALARY,WORK EXPERIENCE
27,MALE,FINANCE,58628.00,2
22,FEMALE,SALES,37822.00,3
22,MALE,MARKETING,58444.00,3
22,MALE,HUMAN RESOURCES,47817.00,4
23,MALE,ADMINISTRATION,39064.00,5
23,FEMALE,INFORMATION TECHNOLOGY,46580.00,6
22,FEMALE,MARKETING,42613.00,4
23,MALE,HUMAN RESOURCES,42406.00,3
23,FEMALE,ADMINISTRATION,52235.00,2
22,FEMALE,INFORMATION TECHNOLOGY,39023.00,1
20,MALE,MARKETING,37792.00,1
25,MALE,HUMAN RESOURCES,45571.00,3
22,MALE,ADMINISTRATION,29968.00,5
22,MALE,INFORMATION TECHNOLOGY,40382.00,5
22,MALE,ENVIRONMENT,39727.00,5
20,MALE,FOOD AND BEVERAGES,32022.00,4
25,FEMALE,PURCHASING AND SPPLY,45812.00,3
22,MALE,INFORMATION TECHNOLOGY,31059.00,4
22,FEMALE,MARKETING,40064.00,4
22,FEMALE,HUMAN RESOURCES,39683.00,3
26,MALE,ADMINSTRATION,62094.00,3
22,MALE,INFORMATION TECHNOLOGY,39447.00,4
27,MALE,ENVIRONMENT,48696.00,5
22,FEMALE,FOOD AND BEVERAGES,29149.00,6
22,MALE,PURCHASING AND SPPLY,35653.00,4
22,MALE,INFORMATION TECHNOLOGY,57703.00,3
23,MALE,MARKETING,40778.00,2
23,FEMALE,HUMAN RESOURCES,43955.00,1
22,FEMALE,ADMINSTRATION,48456.00,1
23,MALE,INFORMATION TECHNOLOGY,42744.00,3
23,FEMALE,ENVIRONMENT,27347.00,5
22,FEMALE,FOOD AND BEVERAGES,27547.00,5
20,MALE,PURCHASING AND SPPLY,37841.00,5
25,MALE,INFORMATION TECHNOLOGY,27931.00,4
22,MALE,MARKETING,42135.00,3
22,MALE,HUMAN RESOURCES,50588.00,4
22,MALE,ADMINSTRATION,28743.00,4
20,MALE,INFORMATION TECHNOLOGY,40984.00,3
25,FEMALE,ENVIRONMENT,51948.00,3
22,MALE,FOOD AND BEVERAGES,43153.00,4
22,FEMALE,PURCHASING AND SPPLY,39829.00,5
22,FEMALE,INFORMATION TECHNOLOGY,31642.00,6
26,MALE,MARKETING,29789.00,4
22,MALE,HUMAN RESOURCES,76035.00,3
27,MALE,ADMINISTRATION,44234.00,2
22,FEMALE,INFORMATION TECHNOLOGY,31601.00,1
22,MALE,ENVIRONMENT,56281.00,1
22,MALE,FOOD AND BEVERAGES,41719.00,3
23,MALE,PURCHASING AND SPPLY,44317.00,5
23,FEMALE,INFORMATION TECHNOLOGY,42097.00,5
22,FEMALE,MARKETING,31795.00,5
23,MALE,HUMAN RESOURCES,42557.00,4
23,FEMALE,ADMINISTRATION,40349.00,3
22,FEMALE,INFORMATION TECHNOLOGY,37328.00,4
20,MALE,ENVIRONMENT,40234.00,4
25,MALE,FOOD AND BEVERAGES,30479.00,3
22,MALE,PURCHASING AND SPPLY,53912.00,3
22,MALE,INFORMATION TECHNOLOGY,33052.00,4
22,MALE,MARKETING,22936.00,5
20,MALE,HUMAN RESOURCES,50373.00,6
25,FEMALE,ADMINISTRATION,35771.00,4
22,MALE,INFORMATION TECHNOLOGY,63761.00,3
22,FEMALE,ENVIRONMENT,46120.00,2
22,FEMALE,FOOD AND BEVERAGES,26206.00,1
26,MALE,PURCHASING AND SPPLY,52478.00,1
22,MALE,INFORMATION TECHNOLOGY,32395.00,3
27,MALE,MARKETING,45202.00,5
22,FEMALE,HUMAN RESOURCES,32298.00,5
22,MALE,ADMINISTRATION,31387.00,5
22,MALE,INFORMATION TECHNOLOGY,23641.00,4
23,MALE,ENVIRONMENT,40835.00,3
23,FEMALE,FOOD AND BEVERAGES,24322.00,4
22,FEMALE,PURCHASING AND SPPLY,31734.00,4
23,MALE,INFORMATION TECHNOLOGY,38271.00,3
23,FEMALE,MARKETING,49949.00,3
22,FEMALE,HUMAN RESOURCES,43958.00,4
20,MALE,ADMINISTRATION,19439.00,5
25,MALE,INFORMATION TECHNOLOGY,48867.00,6
22,MALE,ENVIRONMENT,45777.00,4
22,MALE,FOOD AND BEVERAGES,38148.00,3
22,MALE,PURCHASING AND SPPLY,30075.00,2
20,MALE,INFORMATION TECHNOLOGY,36541.00,1
25,FEMALE,MARKETING,32386.00,1
22,MALE,HUMAN RESOURCES,36781.00,3
22,FEMALE,ADMINISTRATION,43288.00,5
22,FEMALE,INFORMATION TECHNOLOGY,47620.00,5
26,MALE,ENVIRONMENT,43369.00,5
22,MALE,FOOD AND BEVERAGES,58002.00,4
27,MALE,PURCHASING AND SPPLY,59863.00,3
22,FEMALE,INFORMATION TECHNOLOGY,57902.00,4
22,MALE,MARKETING,36043.00,4
22,MALE,HUMAN RESOURCES,47849.00,3
23,MALE,ADMINISTRATION,41211.00,3
23,FEMALE,INFORMATION TECHNOLOGY,35013.00,4
